,id,post_time,check_time,delta_time,view,reply,symph,title
63,13442622,2019-05-01 00:34:01,2019-05-01 06:34:04.392257,360.05653761666673,564,2,0, 혹시모르실분을 위한 구글 타노스 이벤트? 
64,13442623,2019-05-01 00:34:11,2019-05-01 06:35:03.545985,360.8757664166667,989,3,0, 연어장 인터넷구매... 
65,13442624,2019-05-01 00:34:56,2019-05-01 06:35:03.963636,360.13272726666673,562,2,0, 요새 애플이랑 구글은 주춤하고 아마존이랑 마이크로 소프트가 뜨고 있던데요 
66,13442625,2019-05-01 00:34:57,2019-05-01 06:35:04.349347,360.12248911666666,1444,5,0, 오랜만에 TV에 등장한 이완X 보고 빵터졌네요 ㅋㅋㅋ 
67,13442626,2019-05-01 00:35:00,2019-05-01 06:35:04.737698,360.0789616333333,1289,7,0, 노스포) 넷플릭스 유랑지구 감상평. 
68,13442627,2019-05-01 00:35:34,2019-05-01 06:36:03.901838,360.4983639666667,4611,34,0, 진짜 사나 여초에서 욕먹는군요 
69,13442628,2019-05-01 00:36:29,2019-05-01 06:37:04.061064,360.5843510666666,5750,13,0, 마약먹었지만 봐준다.jpg 
70,13442631,2019-05-01 00:37:17,2019-05-01 06:38:03.479896,360.77466493333327,3002,9,1, 구글 주식 하락폭이 12년도 이후 최악이라고 
71,13442632,2019-05-01 00:37:46,2019-05-01 06:38:03.911935,360.29853225,362,2,1, 승환옹 옛 노래 달려봅니다 
72,13442633,2019-05-01 00:38:30,2019-05-01 06:39:04.060871,360.5676811833334,2096,9,1, [약스포] 엔드게임 솔직히 스칼렛 위치 
73,13442634,2019-05-01 00:38:45,2019-05-01 06:39:04.463095,360.32438491666665,2509,24,2, ㅋㅋ사나의 논란이라고 하는건... 
74,13442635,2019-05-01 00:39:18,2019-05-01 06:40:03.731027,360.7621837833333,1601,20,1, [ 해석 좀 도와주세요 ] 
75,13442636,2019-05-01 00:40:00,2019-05-01 06:40:04.134078,360.06890130000005,1504,6,0, 스포) 엔드게임 
76,13442637,2019-05-01 00:40:07,2019-05-01 06:41:03.281542,360.93802569999997,1202,25,0, 구내염이 낫질 않네요.. 
77,13442643,2019-05-01 00:41:16,2019-05-01 06:42:04.003293,360.80005488333336,1846,15,1, 영화 터미네이터가 돌아오네요. 
78,13442644,2019-05-01 00:41:29,2019-05-01 06:42:04.398017,360.58996695,7571,9,1, (후방) 모델 ㅊㅈ.mp4 
79,13442645,2019-05-01 00:41:56,2019-05-01 06:42:04.788817,360.1464802833333,1179,2,1, 표창원 의원을 좋아하는 이유 
80,13442646,2019-05-01 00:42:13,2019-05-01 06:43:03.952061,360.84920101666665,704,2,0, 윤지오씨 관련 익명커뮤니티 글들 진짜 짜증나네요. 
81,13442647,2019-05-01 00:42:59,2019-05-01 06:43:04.362061,360.0893676833333,2558,40,0, 지금의 여친(아내)를 어떻게 만나셨나요? 
82,13442648,2019-05-01 00:43:11,2019-05-01 06:44:03.509771,360.87516285,2873,14,0, 지금 일본 도쿄 거리 실시간.avi 
83,13442649,2019-05-01 00:43:14,2019-05-01 06:44:03.923219,360.83205365,1404,9,1, 서피스프로는 2년넘게썻는데도 아직도 너무 좋네요. 
84,13442652,2019-05-01 00:43:55,2019-05-01 06:44:04.405700,360.15676166666674,4657,14,0, 이하늬 유튜브 진출.avi 
85,13442654,2019-05-01 00:46:03,2019-05-01 06:46:03.590645,360.0098440833333,1472,4,0, 야! 러그래츠 실사화 
86,13442655,2019-05-01 00:46:46,2019-05-01 06:47:03.759583,360.29599305,1430,4,0, 니가 김조한이냐? 
87,13442656,2019-05-01 00:46:53,2019-05-01 06:47:04.209471,360.18682451666666,2274,11,0, 아 몰랑 조작이야 
88,13442657,2019-05-01 00:48:04,2019-05-01 06:49:03.165068,360.9860844666666,1086,8,0, 왕겜 시즌1 시작했습니다. 오프닝부터 아주 영악하네요ㅎㅎ 스포 함유. 
89,13442660,2019-05-01 00:49:15,2019-05-01 06:50:03.608792,360.8101465333333,1391,10,0, (스포)엔드게임 다 봤는데요 ㅎㅎ뭐 
90,13442661,2019-05-01 00:49:31,2019-05-01 06:50:04.039651,360.55066085,624,2,0, 잉 유량지구 이번달 개봉영화네요 
91,13442662,2019-05-01 00:51:59,2019-05-01 06:52:03.944476,360.0824079333333,1713,6,0, 이 기자 진심 쓰래기네요 
92,13442663,2019-05-01 00:52:00,2019-05-01 06:52:04.359850,360.0726641666667,2022,39,0, 100분 토론 수술실 cctv 관련이네요.. 
93,13442664,2019-05-01 00:52:32,2019-05-01 06:53:03.521025,360.5253504166666,953,1,0, 이제 5월이군요 ㄷㄷ 
94,13442665,2019-05-01 00:54:24,2019-05-01 06:55:03.451885,360.6575314166666,906,1,0, 요즘 연예인들 유투브 진출이 활발한데 
95,13442666,2019-05-01 00:54:27,2019-05-01 06:55:03.874072,360.6145678666666,706,2,0, 5월에도 지마켓 할인쿠폰 kt에서 주네요 
96,13442668,2019-05-01 00:54:51,2019-05-01 06:55:04.350032,360.2225005333333,2302,12,1, 사나일은 생각외로 시끄러워질수도 있을거 같네요. 
97,13442669,2019-05-01 00:55:30,2019-05-01 06:56:03.983645,360.56639408333336,2189,6,0, 사나 글의 요지는 우리나라로 치면 
98,13442670,2019-05-01 00:55:31,2019-05-01 06:56:04.409109,360.55681848333336,4242,5,1, 이준석의 긍정적 효과.jpg 
99,13442671,2019-05-01 00:56:09,2019-05-01 06:57:03.584472,360.9097412,1740,1,1, '선거 개입' 초고속 승진 현직 치안감..'청와대 직접 지시' 
100,13442672,2019-05-01 00:56:41,2019-05-01 06:57:04.002183,360.38336971666666,1785,6,2, sbs 뉴스 웃기네요.. 
101,13442674,2019-05-01 00:57:46,2019-05-01 06:58:03.711253,360.29518755,1903,18,0," 장애인구역 이중주차, 고의성 없으면 과태료 안낸다 "
102,13442675,2019-05-01 00:58:09,2019-05-01 06:59:03.943002,360.91571669999996,1344,11,0, [기사] 여가부 페미니즘 동아리 최대 300만원의 사업비를 지원 -0-;;; 
103,13442676,2019-05-01 00:58:13,2019-05-01 06:59:04.364359,360.85607265,2766,6,1, 왕좌의 게임 시즌8 3화 요약.gif 
104,13442678,2019-05-01 00:58:48,2019-05-01 06:59:04.801277,360.28002128333327,373,0,0, 엄훠나... 4월에 써야할 쿠폰을 까먹었네요 
105,13442679,2019-05-01 00:58:54,2019-05-01 06:59:05.178381,360.18630635000005,1974,4,0, 남녀사이는 아무리 좋아도 
106,13442681,2019-05-01 00:59:17,2019-05-01 07:00:03.443347,360.77405578333327,323,2,0, 별 보러 가고 싶네요. 
107,13442682,2019-05-01 00:59:31,2019-05-01 07:00:03.835599,360.5472599833333,1212,3,0, 그림일기장+마인드맵+대나무숲 
108,13442683,2019-05-01 01:00:13,2019-05-01 07:01:03.969949,360.84949915,1326,18,1, 토착왜구당 당명 바꾸지 않을까요. 
109,13442686,2019-05-01 01:00:30,2019-05-01 07:01:04.494491,360.5749081833334,954,8,0, 모니터를 중고로 팔고나니 속이 시원해요 
110,13442687,2019-05-01 01:00:33,2019-05-01 07:01:04.897451,360.53162418333335,1215,4,1, 오늘자 아이패드 버그 
111,13442688,2019-05-01 01:00:35,2019-05-01 07:01:05.275969,360.50459948333327,1551,1,0," 신뢰의 아이콘, 나경원 대표님만 믿습니다. "
112,13442689,2019-05-01 01:01:50,2019-05-01 07:02:03.439257,360.2239876166667,5594,14,2, 베네수엘라 내전으로 가네요.. 지금 장난 아닙니다 
113,13442692,2019-05-01 01:04:48,2019-05-01 07:05:03.679433,360.2613238833334,1082,6,0, 동해 여행 다녀왔는데 잘 얻어먹구 댕겼네영 
114,13442693,2019-05-01 01:05:13,2019-05-01 07:06:03.879055,360.84798425,1185,3,0, 이석채회장의 충무공발언의 의미 
115,13442695,2019-05-01 01:05:58,2019-05-01 07:06:04.351480,360.105858,1967,19,1, (스포)엔드게임 보고 난 후 든 생각이... 
116,13442697,2019-05-01 01:06:30,2019-05-01 07:07:03.624437,360.5604072833333,1750,3,6, 이쯤에서 이준석의 과거를 한번 복습해봅시다 
117,13442699,2019-05-01 01:08:05,2019-05-01 07:09:03.265074,360.97108456666666,1466,10,0, 1주일된 미니5 떨궈서 찍힘+유리금.. 
118,13442700,2019-05-01 01:08:29,2019-05-01 07:09:03.673731,360.57789551666673,1199,28,4, 택시는 진정 개선이 안되나요? 
119,13442701,2019-05-01 01:08:31,2019-05-01 07:09:04.064173,360.55106955,5320,11,0, 닥터 스트레인지의 연기력 
120,13442703,2019-05-01 01:08:45,2019-05-01 07:09:04.519105,360.32531841666673,2154,6,9, 가짜뉴스가 이렇게 만들어지는 군요 
121,13442704,2019-05-01 01:11:02,2019-05-01 07:11:03.468324,360.0244720666667,527,9,0, 약스포 엔드게임보구와서 
122,13442707,2019-05-01 01:14:32,2019-05-01 07:15:03.242390,360.5207065,1091,6,0, 밍구리 목소리는 녹네요 
123,13442708,2019-05-01 01:15:59,2019-05-01 07:16:03.439578,360.0739929666667,1038,1,0, 마우스 패드 장패드를 쭉 썼는데요... 
124,13442709,2019-05-01 01:16:16,2019-05-01 07:17:04.033567,360.80055945,1301,17,0, 혈압.. 최고치 경신했습니다ㅜ 
125,13442710,2019-05-01 01:16:25,2019-05-01 07:17:04.500672,360.65834453333326,3048,9,0, 캐딜락 신형 ct5 중형세단 .jpg 
126,13442711,2019-05-01 01:16:51,2019-05-01 07:17:05.049109,360.2341518166667,4251,24,0, 삼성 공장에서 만난 문재인과 이재용.gif 
127,13442712,2019-05-01 01:18:50,2019-05-01 07:19:04.057651,360.2342941833333,1098,2,0," 美민주 바이든, 지지율 39%로 급상승..非백인 선호도 커 "
128,13442713,2019-05-01 01:19:21,2019-05-01 07:20:03.254393,360.7042398833333,2334,20,0, 국산소프트웨어 경쟁력 
129,13442714,2019-05-01 01:19:24,2019-05-01 07:20:03.691224,360.6615204,258,6,0, 새벽에 배가 너무 고프네요. 
130,13442715,2019-05-01 01:20:16,2019-05-01 07:21:03.918632,360.79864386666674,305,2,0, 결막염으로 고생중 입니다 
131,13442716,2019-05-01 01:20:20,2019-05-01 07:21:06.110698,360.7685116333333,2102,7,0, 사나 다음 실검 1위 ㄷㄷ 
132,13442718,2019-05-01 01:21:14,2019-05-01 07:22:03.619471,360.82699118333335,400,2,0," 브렉시트 재투표? 英 노동당, 유럽의회 선거공약 채택 여부 논의 "
133,13442719,2019-05-01 01:21:49,2019-05-01 07:22:04.052121,360.2508686833333,2537,13,9," 사나논란 - 헤이세이=연호, 아키히토=일왕이름 을 구분하지 못해서 난 사단이네요. "
134,13442720,2019-05-01 01:22:48,2019-05-01 07:23:03.297475,360.25495791666674,1847,2,4, 발명가 노무현에 대한 추억... 
135,13442721,2019-05-01 01:23:01,2019-05-01 07:23:03.770906,360.04618176666673,1731,8,3," 새로운 이지스함, 잠수함 건조 계획 국방부 의결 "
136,13442722,2019-05-01 01:23:07,2019-05-01 07:24:03.926403,360.9487733833333,2533,10,0, 트와이스 사나 기사의 욕하는 댓글들 성별과 나이대.Jpg 
137,13442725,2019-05-01 01:23:46,2019-05-01 07:24:04.490374,360.3081729,2219,4,3, 암세포 자살 유도하고 암 재발 막을 치료 방법 찾았다 
138,13442726,2019-05-01 01:24:15,2019-05-01 07:25:03.757916,360.8126319333333,2089,0,0, 베네수엘라 생방송 RT 
139,13442727,2019-05-01 01:24:20,2019-05-01 07:25:04.177665,360.73629441666674,1096,8,0, 여러분 결혼 어떻게 하셨나요? 
140,13442728,2019-05-01 01:24:33,2019-05-01 07:25:04.665821,360.52776368333326,1430,4,0," 집 탈출한 대형견 50대 배달원 물어…경찰, 견주 조사 "
141,13442729,2019-05-01 01:24:47,2019-05-01 07:25:05.110619,360.30184365,3770,16,60, 자유왜구당 해산 청원 130만 돌파 기념 피자 당첨자 발표 
142,13442730,2019-05-01 01:24:48,2019-05-01 07:25:05.523319,360.29205531666673,1943,4,0, 전 태블릿을 이렇게 거치해서 씀니다 
143,13442731,2019-05-01 01:24:59,2019-05-01 07:25:05.901969,360.11503281666666,1032,4,0, 아이돌룸은 너무 재밌어요 
144,13442732,2019-05-01 01:27:07,2019-05-01 07:28:03.099041,360.9349840166667,516,8,0, 클리앙 뉴비 탈출까지 1년도 안남았네요 
145,13442733,2019-05-01 01:27:55,2019-05-01 07:28:03.534113,360.14223521666673,2062,9,0, 짐캐리..주연......실사판..새.SF..영화..예고편...avi.. 
146,13442734,2019-05-01 01:28:22,2019-05-01 07:31:03.092859,362.68488098333336,1705,13,0, 양지에서 꽃등심맛이 나요 
147,13442735,2019-05-01 01:29:17,2019-05-01 07:31:03.532733,361.77554555,2277,16,0, 대박난 음식점들 가족끼리 싸우는거 보면 좀 이해는 안돼여 
148,13442736,2019-05-01 01:29:52,2019-05-01 07:31:04.363366,361.2060561,2134,5,2, 대천항 수산물시장 상인회 가지가지 하네요 
149,13442738,2019-05-01 01:34:10,2019-05-01 07:43:03.881132,368.89801886666663,2192,4,0, 사나 논란... 제가 이런 말을 하게 될 줄은 몰랐지만.. 
150,13442739,2019-05-01 01:36:54,2019-05-01 07:43:04.299431,366.1716571833333,1381,1,0, 안드로이드 개발자 옵션에 
151,13442740,2019-05-01 01:37:08,2019-05-01 07:43:05.077587,365.95129311666665,5897,35,6, 수능 만점 2019 서울대 수석 입학생의 클라스.jpg 
152,13442741,2019-05-01 01:38:16,2019-05-01 07:43:05.869155,364.8311525833333,1537,13,0," NASA 국장 '소행성 지구 충돌, 우리가 사는 동안 일어날 것' "
153,13442742,2019-05-01 01:38:25,2019-05-01 07:43:06.762537,364.69604228333327,887,11,0, 유랑지구 꽤 괜찮은 영화네요. 
154,13442744,2019-05-01 01:39:09,2019-05-01 07:43:07.688780,363.97814633333326,2449,10,1, 사나 논란이 웃기죠... 
155,13442745,2019-05-01 01:39:14,2019-05-01 07:43:08.086479,363.9014413166667,1832,6,10, 사진 한번 올려봅니다. 
156,13442747,2019-05-01 01:41:07,2019-05-01 07:43:08.565546,362.02609243333336,1805,8,2, 자한당 해산 청원 141만 
157,13442748,2019-05-01 01:41:54,2019-05-01 07:43:08.941553,361.2490258833333,8037,9,1, (후방) 운동녀.gif 
158,13442749,2019-05-01 01:42:48,2019-05-01 07:43:09.337176,360.35561960000007,2141,4,0, 결국 사나 네이버 실검1위 가네요 
159,13442751,2019-05-01 01:45:32,2019-05-01 07:46:04.344319,360.53907198333326,515,4,0, 코고는 소리는 
160,13442752,2019-05-01 01:45:33,2019-05-01 07:46:05.200960,360.53668266666665,542,3,0, [노스포]엔드게임 보고 왔어요. 
161,13442753,2019-05-01 01:45:41,2019-05-01 07:46:05.610742,360.41017903333335,650,2,0, 테리..길리엄..감독의..새..영화.예고편...avi.. 
162,13442754,2019-05-01 01:45:59,2019-05-01 07:46:06.047559,360.1174593166667,1414,4,0, 아이즈원 권은비는 아이린+한채아 느낌이에요 
163,13442756,2019-05-01 01:46:47,2019-05-01 07:47:03.648351,360.27747251666665,2007,4,1, 사나 좌표찍힌게 확실하네요 
164,13442757,2019-05-01 01:47:25,2019-05-01 07:48:03.832661,360.64721101666674,5878,3,1, (후방) 요가녀.avi 
165,13442758,2019-05-01 01:47:54,2019-05-01 07:48:04.449022,360.17415036666665,928,6,0, UBD 시청 중입니다... 
166,13442759,2019-05-01 01:48:05,2019-05-01 07:49:03.425155,360.97375258333335,3449,11,0, 베네수엘라 상황이 심각하네요 
167,13442760,2019-05-01 01:48:24,2019-05-01 07:49:03.853577,360.6642262833333,1527,15,0," 1UBD는 17만으로 치고, 1GCP는 얼마로 예상하시나요?? "
168,13442761,2019-05-01 01:48:34,2019-05-01 07:49:04.260389,360.50433981666663,3868,5,0, cu 편의점이 다 난리군요.. 
169,13442763,2019-05-01 01:52:11,2019-05-01 07:53:04.013548,360.8835591333333,1582,11,1, 사나 사건은 일본어 못하는 사람들이 선동당하는 모양새네요 
170,13442764,2019-05-01 01:52:55,2019-05-01 07:53:04.421668,360.1570278,455,2,0, 라이프 이즈 스트레인지.. 며칠 해보니 애매한 느낌이 듭니다. 
171,13442765,2019-05-01 01:52:59,2019-05-01 07:53:04.832362,360.0972060333333,714,4,0, 마블시네마틱 유니버스 정주행 중입니다 
172,13442768,2019-05-01 01:56:07,2019-05-01 07:57:04.019329,360.95032215,1677,2,0, fate를 너무나 좋아하는 신랑신부의 결혼식 장면... 
173,13442769,2019-05-01 01:56:38,2019-05-01 07:57:04.446430,360.4407738333333,6329,13,5, [축] 영원한 국민 여동생 AV 배우 츠보미 한국 유튜브 데뷔 
174,13442771,2019-05-01 01:57:17,2019-05-01 07:58:03.749848,360.77916413333327,1603,5,0, 사나를 향한 비뚤어진 공격. 이대로 괜찮나? 
175,13442772,2019-05-01 01:58:57,2019-05-01 07:59:03.924145,360.11540241666665,388,3,0, [더빙신안윤상] BTS - Boy with luv 
176,13442773,2019-05-01 01:59:29,2019-05-01 08:00:03.093613,360.56822688333335,1095,7,3, 사나 논란에서 오히려 악플달며 크게 키우는쪽이 일본에게 도움을 주고있다고 봅니다 
177,13442774,2019-05-01 02:00:18,2019-05-01 08:01:03.266218,360.75443696666673,740,3,0, 마블 게임만 4개나 있네요 앱스토어에... 
178,13442775,2019-05-01 02:00:30,2019-05-01 08:01:03.684913,360.56141521666666,447,2,0, 클량에 감사합니다(조언에 감사. 짤은 혼종 ㅋㅋ) 
179,13442776,2019-05-01 02:00:40,2019-05-01 08:01:04.102862,360.40171436666674,478,7,0, 자왜당이 깽판치면서 페미프레임 가지고 놀아도 조용하던 것들이 
180,13442777,2019-05-01 02:01:28,2019-05-01 08:02:03.246727,360.58744545,2423,15,1, 근데 갑자기 대통령이 삼성 방문한 이유가 
181,13442779,2019-05-01 02:04:30,2019-05-01 08:05:03.148554,360.55247589999993,1250,1,1, 유튜브 프리미엄은 프리미엄이라고 바뀌네요??? 
182,13442780,2019-05-01 02:04:38,2019-05-01 08:05:03.543227,360.42572045,1403,7,17, 세탁하시는분들 지시 받으신건가요? 
183,13442781,2019-05-01 02:04:48,2019-05-01 08:05:03.942595,360.26570991666665,575,0,0, 근로자의 날이 주는 기쁨 = 심야영화 
184,13442783,2019-05-01 02:05:46,2019-05-01 08:06:03.282185,360.2880364166666,820,7,0, LG는 언제쯤 DTD될까요? 
